Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,Avg_lottary_expanses,Age_group,Avg_monthly_expense_on_pets_or_plants,Looking_at_poles_results,Avg_environmental_importance,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Yearly_IncomeK,Avg_size_per_room,Garden_sqr_meter_per_person_in_residancy_area,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Avg_education_importance,Avg_Satisfaction_with_previous_vote,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_government_satisfaction,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Most_Important_Issue,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Financial_agenda_matters,Num_of_kids_born_last_10_years,Overall_happiness_score
Purples,7,163.2295968,2247.295319,30-45,3024.843342,No,35.75182098,Yes,Male,After_16:00,0.575104649,0.942319141,6691,20.05485693,63.04203856,453.1405667,954.5556712,78.24324784,4.478264947,9.309,2930.8595,No,1705.944854,2.876107751,,55.61781118,54.40986561,70,Social,11,815.0722235,1,Motorcycle_or_truck,Public_Sector,No,0,27.14428242
Violets,10,767.3141532,24853.48156,30-45,65684.77247,No,259.030152,Yes,Female,After_16:00,0.263753607,0.65790529,8986,132.6400647,48.11312233,1236.987016,603.1818092,94.99148491,11.51694685,7.014,18240.21003,Maybe,9442.14273,3.704957711,97.17068863,76.70588472,255.7713844,100,Education,12,595.722459,1,Public_or_other,Services_or_Retail,No,0,259.8740498
Turquoises,7,181.8384838,24997.91593,45_and_up,3744.527738,Yes,794.9907229,Yes,Female,After_16:00,0.294344948,0.125444504,4308,542.8819487,47.06008148,5209.959514,463.8835455,73.36902127,,5.692,62638.81904,Maybe,170089.8949,3.544141429,412.4195617,50.84247044,60.61282793,70,Social,10,102.1170523,1,Foot_or_bicycle,Public_Sector,No,0,
Blues,1,1285.631682,4190.58235,Below_30,184088.4129,No,618.8268097,Yes,Female,By_16:00,0.5855826,0.368670035,3402,,74.65850392,1216.887556,434.8268348,37.76232309,23.65482001,10.598,50185.93822,No,95.62206891,1.481160931,9.778653737,38.53850099,428.5438939,70,Social,13,563.5349999,3,Motorcycle_or_truck,Industry_or_other,No,0,228.5069714
Browns,5,454.9261187,13635.07795,45_and_up,23156.9502,No,242.9050742,Yes,Female,By_16:00,0.009936989,0.956418896,4941,214.5852337,31.81137857,1328.332599,211.1524835,76.16397501,14.64872806,11.059,20571.58448,No,8084.925386,2.506584099,89.91621314,85.64325564,151.6420396,100,Education,12,651.6985879,2,Car,Student_or_Unemployed,Yes,0,81.5734851
Turquoises,3,508.7024517,69173.85899,45_and_up,28932.69908,No,627.8612518,Yes,Female,After_16:00,0.989582268,0.51173138,4717,386.5250123,61.48338453,4852.479489,318.4554146,37.94801333,19.66023937,5.283,48859.97559,No,166417.4475,0.452178274,407.9429464,13.01152529,169.5674839,90,Environment,13,147.7095594,3,Public_or_other,Industry_or_other,Yes,1,478.3888922
Turquoises,3,171.1269493,27322.27052,30-45,3320.86818,No,698.9622616,Yes,Male,By_16:00,0.486463693,0.025909253,6409,441.7099286,14.93354803,5673.244716,595.7237235,76.12097634,21.01689626,3.591,55141.6501,Maybe,229424.2217,8.043758227,478.9824858,13.14767874,57.04231643,100,Education,16,62.3632344,1,Motorcycle_or_truck,Student_or_Unemployed,No,1,507.0501545
Browns,5,491.3861911,38470.35575,Below_30,27002.72749,No,649.2917353,Yes,Female,By_16:00,0.621014613,0.38918646,9559,,23.18846586,3290.291675,64.03346523,43.37183372,21.69801958,6.441,50952.82391,No,55163.14501,1.902419808,234.8683568,68.59939669,163.795397,100,Education,15,283.4290342,3,Car,Industry_or_other,No,0,404.1625027
Turquoises,2,263.6422248,37079.02442,45_and_up,7820.905484,No,659.8307354,Yes,Male,By_16:00,0.425892271,0.47576355,4396,420.2305095,32.66992865,5059.704478,800.1766289,96.08468597,20.49952462,5.604,51804.97339,No,178020.1537,2.468809823,421.9243459,52.82175273,87.88074159,70,Social,13,113.6037312,3,Foot_or_bicycle,Services_or_Retail,No,1,478.8616846
Violets,7,373.7674233,3165.760187,30-45,15657.04322,Yes,286.5419361,Yes,Female,By_16:00,0.75776855,0.14592209,9932,65.46602812,28.43890449,385.028052,475.5245806,98.15936461,8.091107966,6.068,16022.99678,Yes,645.6477505,5.613586293,25.40959957,57.31611082,124.5891411,100,Education,16,645.3987429,0,Motorcycle_or_truck,Services_or_Retail,No,2,450.1631017
Reds,3,224.3658557,40016.35851,30-45,5678.126085,Yes,654.795995,No,Male,After_16:00,0.752070427,0.254117677,5660,361.031708,69.06044367,6072.658103,870.9814423,50.21626747,19.0008344,6.34,50691.17711,No,286288.635,0.00731461,535.0594687,,74.78861856,40,Foreign_Affairs,10,152.7123753,3,Public_or_other,Hightech,No,0,552.7230218
Turquoises,9,128.8192709,20618.91779,Below_30,1896.762487,No,689.1709554,Yes,Male,After_16:00,0.268011094,0.435162377,9067,370.7586945,3.277491778,5543.341908,667.877716,45.57115126,19.25509529,0.933,51967.41196,No,230575.1871,0.162196648,480.1824519,31.9163675,42.93975698,60,Financial,9,174.0896351,2,Public_or_other,Hightech,Yes,4,614.9397704
Khakis,4,807.4563588,89737.42648,30-45,72722.01561,No,542.0284438,Yes,Female,By_16:00,0.80938407,0.618855363,7155,358.2595552,30.21841049,4050.597498,952.6285448,81.89843355,18.92774565,2.845,42896.38445,No,111160.7869,7.604151852,333.4078387,69.47863267,269.1521196,90,Environment,9,253.1748037,2,Foot_or_bicycle,Hightech,No,0,372.5081204
Turquoises,4,715.0922146,94968.56799,45_and_up,57065.79466,No,712.7915802,Yes,Female,By_16:00,0.704686237,0.498927317,4923,479.9730958,33.53533102,,754.9753988,55.84613567,21.90828829,5.077,56255.75902,No,158737.0075,4.687300448,,17.3473997,238.3640715,60,Financial,12,105.0991388,1,Motorcycle_or_truck,Industry_or_other,No,1,481.9479617
Turquoises,2,596.726719,82243.83366,45_and_up,39773.66192,No,758.0856728,Yes,Female,After_16:00,0.523406508,0.453917664,7426,483.0941469,89.13559872,5100.936967,940.3291207,94.72925847,21.97940279,2.574,58646.46338,No,170961.4659,5.939051767,413.4748674,48.05389338,198.9089063,80,Healthcare,11,108.8875535,4,,Public_Sector,Yes,1,563.9069077
Turquoises,1,42.84513676,5073.385263,30-45,228.2490171,Yes,643.0936857,Yes,Female,After_16:00,0.259694269,0.990984346,3639,408.0997657,92.20917379,4368.564383,215.9263615,2.516908245,20.20147929,6.361,49739.89291,Maybe,126192.9604,2.826593395,355.2364852,60.3095982,14.28171225,60,Financial,8,172.5688924,3,Motorcycle_or_truck,Hightech,No,2,480.5604961
Violets,3,165.8315172,2703.548815,45_and_up,3120.842959,Yes,83.68537194,Yes,Female,After_16:00,,0.230063472,5498,34.23080904,0.435221824,557.5511822,483.6957911,13.00558287,5.850710131,10.502,5777.307398,Yes,2392.086018,2.420798042,48.90895641,17.88232925,55.27717238,60,Financial,11,763.977411,5,Foot_or_bicycle,Public_Sector,No,2,95.97349633
Purples,8,163.946148,16548.85242,Below_30,3051.130876,Yes,321.6331949,Yes,Male,After_16:00,0.006825378,0.802622351,4246,187.5010917,37.04418826,3403.225649,970.0522269,69.5829238,13.6931038,11.754,25787.6662,No,91701.37358,5.725935062,302.8223466,21.34804407,54.648716,80,Healthcare,10,448.8403473,2,Public_or_other,Public_Sector,Yes,0,245.1999556
Turquoises,7,407.4791748,52591.86343,30-45,18594.63505,No,685.5306778,Yes,Male,After_16:00,0.837812445,0.14284826,3237,435.0836889,67.57767987,4742.158882,114.4232163,52.65456759,20.85865981,6.763,53129.91103,Maybe,149923.1821,5.043649741,387.1991504,26.74377363,135.8263916,60,Financial,10,130.5672185,3,Motorcycle_or_truck,Public_Sector,Yes,1,510.4708854
Browns,7,99.17280307,5756.644256,45_and_up,1135.862587,Yes,579.0799747,Yes,Female,After_16:00,0.151491727,0.03062833,5890,416.009167,13.52767553,2573.416402,970.3785391,25.35086609,,10.11,44854.96629,Maybe,30324.67232,9.646561737,174.1398068,3.952374659,33.05760102,70,Social,12,359.145776,2,Public_or_other,Public_Sector,Yes,1,374.5154875
Turquoises,4,787.6148318,116998.367,30-45,69198.8853,Yes,644.2943399,Yes,Female,By_16:00,0.540758636,0.549235083,7000,435.9077028,21.8311345,5328.246224,911.7194524,11.67123325,,3,51989.55118,Maybe,198597.7564,1.37085025,445.6430819,61.63519234,262.5382773,70,Social,12,119.6539743,1,Motorcycle_or_truck,Hightech,Yes,0,414.8261985
Violets,7,792.7198262,85517.06953,45_and_up,70096.98693,Yes,507.8596916,Yes,Female,After_16:00,0.409612173,0.596179077,7109,332.0340508,48.0685439,3900.40962,40.54718255,78.00895933,18.22180153,8.891,40191.12366,Yes,104739.0642,,323.6341518,95.95437765,264.2399421,100,Education,15,284.3047509,0,Car,Public_Sector,No,0,353.3312614
Browns,3,817.037457,15131.84539,Below_30,74454.59095,Yes,560.7164884,,Male,By_16:00,0.45482756,0.547548216,7609,451.7976335,67.24150153,1459.206712,326.2977034,51.93680888,21.25553183,8.391,43921.30531,Yes,,8.351574941,55.56114445,80.144552,272.345819,80,Healthcare,11,490.9418078,3,Car,Public_Sector,No,1,297.0850075
Khakis,2,,40312.13733,30-45,7224.292025,Yes,651.5211254,Yes,Male,By_16:00,0.828748085,0.162971635,5275,419.0027948,16.9753911,5612.149649,268.9993351,87.63920357,20.46955776,4.725,52063.41828,Maybe,227924.515,6.033866769,477.414406,87.86968703,84.43846022,80,Healthcare,8,96.15858772,2,Foot_or_bicycle,Industry_or_other,No,0,453.3543391
Turquoises,9,873.2033355,90523.45721,30-45,85021.51946,No,658.5665946,Yes,Male,By_16:00,0.943038917,0.288315444,6603,384.4968732,48.3736309,,481.2721161,53.83509535,19.60859182,3.397,48992.10137,Yes,96723.94497,4.562222827,311.0047346,38.85943482,291.0677785,70,Social,11,230.2363581,4,,Hightech,No,0,562.8378705
Violets,4,131.4683556,621.5250676,Below_30,1974.259288,Yes,36.03041217,Yes,Male,By_16:00,0.487629994,0.711329728,5818,2.433749507,56.22562859,146.6944196,805.884185,79.80718017,1.560047918,10.182,1927.207072,Yes,201.148754,4.533353439,14.18269206,61.61856025,43.8227852,90,Environment,14,820.3363809,2,Foot_or_bicycle,Hightech,Yes,0,64.84353682
Greens,10,104.2504362,9947.49237,45_and_up,1252.322752,Yes,797.386358,Yes,Male,By_16:00,0.63038488,0.03232073,7509,491.5512931,64.47449599,3845.67834,848.3241631,75.52566694,22.17095607,2.491,59203.24632,No,81943.39945,8.789655205,286.2575754,65.26820776,34.75014541,100,Education,16,262.8370474,4,Public_or_other,Student_or_Unemployed,No,0,652.7288733
Reds,6,183.5331142,30855.73271,45_and_up,3813.889261,No,736.0338883,No,Male,After_16:00,0.986931571,0.606962996,7620,430.6373903,99.64283055,5904.898573,427.2386001,86.22649135,20.75180451,4.38,56734.25563,Yes,254381.4096,9.588875261,504.3623792,33.05567196,61.17770473,50,Other,10,118.5555563,4,Car,Services_or_Retail,No,3,596.0479982
Khakis,7,228.4016064,24852.63513,Below_30,5882.49985,No,578.856829,Yes,Female,After_16:00,0.345502557,0.192291934,7102,381.2549469,17.21826114,4026.843562,380.6393018,80.11533881,19.52575087,2.898,45391.62883,No,106558.743,2.270952237,326.4333669,21.57683161,76.13386882,90,Environment,9,230.2828542,1,Car,Student_or_Unemployed,Yes,0,406.1680803
Yellows,10,866.5694227,79689.55417,Below_30,83736.91919,Yes,491.6540346,Yes,Female,After_16:00,0.514805752,0.860420065,8965,323.3043395,41.93915678,3405.402796,144.454912,79.32822313,17.98066571,5.035,38516.5378,Maybe,76109.44978,7.673521291,275.8794117,91.41733379,288.8564742,80,Healthcare,11,324.2077124,4,Public_or_other,Industry_or_other,No,,346.1843758
Turquoises,5,507.2892175,74920.92037,Below_30,28772.69087,No,702.9552016,Yes,Female,By_16:00,0.161959252,0.026618073,7316,442.3555101,42.69149674,5315.374109,606.4707078,3.527444089,21.03224929,2.684,54904.88419,Maybe,196307.7541,1.921991676,,28.54365492,169.0964058,100,Education,12,83.71223956,0,Motorcycle_or_truck,Public_Sector,No,0,521.0572232
Khakis,4,126.7824967,13847.41354,45_and_up,1838.238775,No,580.721978,Yes,Male,After_16:00,0.792878716,0.753295556,7142,382.5378827,19.05425545,4041.730012,915.3408583,52.56437934,19.55857568,2.858,45542.22452,No,107364.6305,4.922746234,327.6654246,51.48183652,42.26083225,80,Healthcare,7,228.2146652,3,Public_or_other,Industry_or_other,Yes,0,407.3426822
Yellows,7,-35.761141,-3642.962587,30-45,140.1750869,No,652.5605053,Yes,Female,After_16:00,0.437813448,0.917759641,4731,342.4773474,66.19697865,3741.033851,396.3314153,35.31845072,18.5061435,9.269,47026.94701,No,93396.1981,9.646016292,305.6079156,34.71944653,-11.92038033,70,Social,11,280.8347766,2,Foot_or_bicycle,Student_or_Unemployed,Yes,1,627.5402022
Greys,4,265.980151,45035.12272,30-45,7959.264574,No,629.4685861,No,Female,By_16:00,0.596354474,0.102692536,8656,,74.62726834,5829.814463,982.9257715,35.82537794,19.36861182,3.344,49734.69452,No,258016.0689,3.406029621,507.9528216,34.52489274,88.66005032,30,Military,8,126.3854873,2,Foot_or_bicycle,Student_or_Unemployed,No,1,482.0889853
Violets,10,389.871687,1974.359883,45_and_up,17028.83859,No,,Yes,Male,By_16:00,0.675647752,0.151768396,8851,258.9114407,89.5588656,669.7467026,870.980293,6.102360855,16.0907253,7.149,27842.10205,Yes,230.8084747,8.683551881,15.19238213,22.1832901,129.957229,100,Education,16,577.641344,2,Motorcycle_or_truck,Hightech,No,2,298.7354912
Browns,1,347.1201753,14308.21971,30-45,13513.75296,Yes,215.7072602,Yes,Male,After_16:00,0.33014595,0.958491207,3035,199.0409439,69.39566694,1634.675499,935.5564064,9.514800925,14.10818712,12.965,19138.89048,Maybe,15291.6376,8.696507851,123.6593612,94.42184393,115.7067251,60,Financial,8,660.4113165,2,Motorcycle_or_truck,Services_or_Retail,No,1,48.40894926
Browns,8,562.7673809,42894.1302,30-45,35387.26969,Yes,645.4184405,Yes,Female,After_16:00,0.124506615,0.102482074,3038,491.8650805,41.29910946,3270.330184,875.8689282,28.58308563,22.17803148,12.962,51510.6244,Yes,52285.39664,6.907242776,228.6600023,55.58444988,187.589127,60,Financial,9,305.5523997,4,Car,Services_or_Retail,No,3,359.7477356
Blues,2,1123.083337,218868.3842,45_and_up,140530.6035,Yes,560.8498348,No,Male,After_16:00,0.667648,0.814921238,6291,147.9042273,55.40325819,6142.259303,683.1557015,34.46502313,12.16158819,7.709,38757.79463,No,341809.8752,0.860654244,584.6450848,87.67934418,374.3611123,80,Healthcare,11,433.6346472,2,Car,Student_or_Unemployed,No,0,738.5430436
Turquoises,6,756.4888987,113812.3239,30-45,63848.3245,No,602.9001817,Yes,Male,After_16:00,0.150597932,0.63072959,9780,357.2440923,50.76854886,5227.931439,37.73067286,70.29536471,18.90090189,0.22,47119.69995,Yes,203711.7001,1.720219995,451.3443254,70.43901095,252.1629662,60,Financial,12,153.3078819,2,Foot_or_bicycle,Public_Sector,Yes,0,472.4921321
Browns,7,384.6485137,11453.6389,30-45,16577.60274,Yes,133.2751801,Yes,Female,By_16:00,0.732993254,0.801954444,3392,129.1159794,74.23789063,1151.538847,129.3457421,79.4105411,11.36292125,12.608,12222.23563,Yes,7979.97197,0.190785062,89.33068885,6.250104099,128.2161712,100,Education,15,734.9786874,2,Foot_or_bicycle,Services_or_Retail,Yes,0,16.27545943
Greens,2,128.9866233,12708.97273,Below_30,1901.612095,No,850.4383027,Yes,Male,By_16:00,0.192476699,0.188216099,5658,528.9555735,15.46705097,,960.8344049,68.46864282,22.99903419,4.342,63203.1402,No,87372.35825,3.626264553,295.5881565,73.93640068,42.99554109,80,Healthcare,,280.331153,1,Foot_or_bicycle,Public_Sector,No,1,689.638942
Browns,1,573.1768872,72582.2558,30-45,36704.58608,Yes,573.443192,Yes,Male,By_16:00,0.526563512,0.620887381,5028,450.3547766,54.97472307,4699.654909,954.6009772,16.6211901,21.22156395,10.972,48472.77345,Yes,144319.8582,3.289111038,379.8945356,15.52452077,191.0589624,60,Financial,9,272.6920995,3,Car,Industry_or_other,Yes,0,260.2688791
Purples,1,651.9801632,70255.98918,Below_30,47458.23041,No,175.7593573,Yes,Female,By_16:00,0.563151159,0.634163534,3147,77.58199143,,3387.899877,232.4183539,78.31468082,8.808064,12.853,15088.18781,Maybe,104505.8136,7.139709436,323.2735894,34.24282058,217.3267211,70,Social,13,578.0358622,0,Motorcycle_or_truck,Services_or_Retail,No,1,147.2164122
Blues,7,1209.599159,395633.5019,30-45,162983.2136,No,663.7651692,No,Female,After_16:00,0.737722886,0.337838077,6934,518.6167015,13.26510056,10849.57906,669.3402797,70.55615806,22.77315748,7.066,62719.11108,Maybe,962821.2737,9.602983445,,87.17498647,403.1997196,80,Healthcare,11,568.5720971,4,Foot_or_bicycle,Industry_or_other,No,1,197.7733625
Turquoises,4,842.553547,92491.6354,Below_30,79168.23781,Yes,646.4108454,Yes,Female,By_16:00,0.46800121,0.363879255,4364,450.9300686,35.81933004,4195.121523,530.0468367,14.24933728,21.23511405,5.636,51224.44365,Yes,108455.7056,6.116373637,329.3261386,96.46002909,280.8511823,60,Financial,9,196.7600242,1,Motorcycle_or_truck,Industry_or_other,Yes,2,415.2823396
Turquoises,6,233.8885961,33843.7172,30-45,6166.171239,No,790.0521237,Yes,Female,By_16:00,0.275149948,0.958710227,4512,571.7835853,26.98185537,5484.571962,940.4916677,46.19616612,23.91199668,5.488,63796.09002,No,188443.2259,7.827882892,434.1004791,0.605229917,77.96286535,70,Social,10,103.8572538,2,Car,Services_or_Retail,No,0,464.0736979
Reds,7,192.484674,37005.42666,45_and_up,4190.867083,Yes,,No,Male,By_16:00,0.629897536,0.59437684,8314,469.9630461,32.73993793,6707.464757,229.7291313,32.94463251,21.67863109,3.686,62466.4017,Yes,332645.0225,4.366732233,576.7538665,66.24766253,64.161558,50,Other,9,175.5340586,2,Foot_or_bicycle,Student_or_Unemployed,Yes,0,654.9800991
Whites,6,157.0078122,26503.62417,45_and_up,2801.386281,No,726.8318806,No,Male,After_16:00,0.541219466,0.574730171,8311,461.2762486,38.60203782,5986.687293,447.8221172,81.44718828,21.47734268,1.689,57519.05685,Yes,256454.6123,8.927642719,506.4134796,10.43574738,52.3359374,70,Social,7,45.03728068,5,Car,Public_Sector,No,0,522.0838178
Whites,7,305.6808283,29781.45512,30-45,10494.20126,Yes,590.7540724,Yes,Female,By_16:00,0.917539318,0.022183935,3232,314.8104104,47.06240173,3552.419933,562.3598092,45.21651387,17.74289746,6.768,42950.64007,Yes,85427.54651,1.185366018,292.2799112,96.09818596,101.8936094,70,Social,7,283.9419617,3,Motorcycle_or_truck,Services_or_Retail,No,0,556.3934239
Whites,4,37.71133405,3939.748183,30-45,180.5865242,Yes,587.4184245,Yes,Female,After_16:00,0.000321375,0.911438266,3662,314.539023,34.75236362,3763.213935,21.90088551,79.8289882,17.73524804,6.338,43048.78232,Maybe,98228.07773,7.300369577,313.4135889,0.790418545,12.57044468,60,Financial,6,267.066997,0,Foot_or_bicycle,Student_or_Unemployed,Yes,0,545.9838898
Purples,5,828.2183133,44207.8178,Below_30,76502.24771,No,98.43765666,Yes,Female,After_16:00,0.121729366,0.001944865,6763,32.44939555,2.213635016,1666.209113,31.62922664,17.75659379,5.696437093,9.237,7766.303674,No,25641.94748,0.005224887,160.1310322,62.0001402,276.0727711,80,Healthcare,10,699.2880688,1,Car,Industry_or_other,Yes,0,106.4401949
Whites,3,386.741784,,30-45,16757.71476,Yes,634.3570837,No,Female,After_16:00,0.606048108,,7023,396.8573289,16.4958314,6065.695199,863.2951644,14.67831612,19.92127829,2.977,51036.37462,No,277937.7883,7.168218284,,39.20714129,128.913928,90,Environment,9,118.2630554,2,Car,Public_Sector,No,2,448.9313646
Turquoises,5,110.8055538,15224.18145,45_and_up,1411.143047,Yes,649.8614418,Yes,Male,By_16:00,0.126154307,0.809517179,8781,358.0305675,51.3288765,4837.925315,935.0295344,76.51373565,18.92169568,1.219,48824.71781,No,169897.6432,7.750678863,412.186418,3.45887756,36.93518462,90,Environment,11,182.1286308,2,Motorcycle_or_truck,Services_or_Retail,Yes,,572.8305787
Browns,4,437.3802512,34136.61343,Below_30,21411.51387,Yes,277.3576665,Yes,Female,After_16:00,0.817857866,0.213703037,7406,279.7195346,41.99110335,2900.876297,165.0683335,31.61144406,16.72481792,8.594,26459.00885,Yes,54823.28292,5.955869833,234.1437228,25.05085042,145.7934171,90,Environment,14,604.012336,4,Car,Hightech,No,1,4.391426176
Greys,1,952.8475832,193256.9351,Below_30,101207.4511,Yes,766.9047934,No,Female,After_16:00,0.753024556,0.187650232,7866,521.6704561,20.88083776,7127.953138,254.666222,96.47834394,22.84010631,4.134,62959.01926,No,370225.0594,8.812601985,608.4612226,63.3878099,317.6158611,30,Military,7,113.8265766,1,Motorcycle_or_truck,Industry_or_other,No,0,473.1105214
Purples,2,378.9856412,8799.191082,30-45,16095.23035,No,56.07053121,Yes,Female,By_16:00,0.309905154,0.14192466,,46.20723341,56.73725423,788.9467461,748.7277021,22.47177314,6.797590265,11.877,5226.543672,No,4851.57216,2.428798487,69.65322793,81.26526163,126.3285471,100,Education,13,791.4006228,2,Foot_or_bicycle,Services_or_Retail,No,0,15.0373967
Turquoises,6,677.5503095,84890.19505,Below_30,51244.11921,No,689.6992413,Yes,Female,By_16:00,0.807210477,0.862400046,8861,424.0234018,19.87448826,4606.743118,163.4233396,81.70730015,20.59182852,1.139,52754.25184,Maybe,141277.9798,5.193732136,375.8696315,54.16916297,225.8501032,100,Education,12,151.196401,2,Car,Industry_or_other,No,0,540.9824331
Turquoises,8,177.5455734,25580.57805,30-45,3571.674151,Yes,696.2527845,Yes,Male,After_16:00,0.790059365,0.378121149,6115,406.8163291,65.86105719,5136.000864,630.4258872,8.618067182,20.16968837,3.885,53090.47496,Maybe,186828.6691,4.072507098,432.2368206,44.09732372,59.1818578,70,Social,11,136.8204438,3,Foot_or_bicycle,Public_Sector,No,1,573.7888124
Browns,7,44.91194922,4881.363886,45_and_up,249.0910034,No,469.5836205,Yes,Male,By_16:00,0.320936249,0.386299115,3955,418.8899414,35.01102668,4098.402481,607.9516537,67.40695515,20.46680096,12.045,41813.17031,Yes,106316.5973,2.002142933,326.0622598,85.545881,14.97064974,70,Social,13,425.7569511,2,Car,Student_or_Unemployed,Yes,0,119.9528946
Khakis,5,450.351026,47065.01162,30-45,22695.2333,Yes,577.8292155,Yes,Female,By_16:00,0.719533068,0.553056694,7285,388.5982743,77.80920682,3912.418336,557.6845177,66.11507384,19.71289614,2.715,45467.71232,No,98296.15654,2.467298175,313.5221787,80.34012748,150.1170087,80,Healthcare,7,241.9327391,1,Car,Student_or_Unemployed,Yes,0,393.4771014
Whites,2,122.8882934,18723.48699,45_and_up,1728.910838,,684.9048796,Yes,Female,By_16:00,0.268485272,0.8718573,7937,446.8789365,3.750712122,5464.613193,36.71671916,80.62485061,21.13951126,2.063,54423.01201,Yes,208927.1836,4.245747067,457.085532,38.40677417,40.96276448,,Healthcare,9,73.06811599,1,Car,Public_Sector,No,1,474.010567
Browns,6,,1863.132689,30-45,254.8716758,Yes,223.5673192,Yes,Male,By_16:00,0.466419083,0.721146886,6669,164.4458467,58.74361342,1558.166021,88.19311881,30.26638366,,9.331,18156.00653,Maybe,15111.15372,1.109637832,122.9274327,33.11778856,15.15636215,100,Education,13,627.891497,2,Motorcycle_or_truck,Public_Sector,Yes,0,126.5466278
Turquoises,3,549.4322823,78614.70797,30-45,33734.9033,Yes,618.7604389,Yes,Male,After_16:00,0.391168506,0.177691499,6964,427.3626346,81.90604257,5147.231033,401.5314765,79.88859655,20.67275102,3.036,50281.88503,Maybe,184256.0574,5.598610435,429.2505764,2.953041461,183.1440941,80,Healthcare,12,155.2649019,4,Foot_or_bicycle,Public_Sector,Yes,0,382.4180202
Violets,5,108.5683805,10564.01874,45_and_up,1355.866487,Yes,318.3237741,Yes,Female,After_16:00,0.024555492,0.364843164,7508,131.9613192,49.60494072,3183.009768,59.71188261,88.00089809,11.48744181,8.492,23356.26857,No,85210.6967,6.840194687,291.908713,29.10394354,36.18946016,90,Environment,15,451.796035,1,Public_or_other,Services_or_Retail,No,0,340.7354309
Turquoises,2,169.8140725,17820.29414,Below_30,3270.695714,No,600.4805333,Yes,Female,After_16:00,0.079645791,0.25703696,3417,371.2057425,43.74891752,3890.612434,788.9235339,56.52100281,19.26670035,6.583,45854.41537,Maybe,99111.69216,4.050817874,314.8200949,,56.60469082,90,Environment,12,227.5741316,1,Car,Hightech,Yes,0,469.8267112
Greens,2,360.7594669,35605.31019,Below_30,14591.07459,Yes,784.9907888,Yes,Male,By_16:00,0.036000038,0.805239796,3435,476.5236915,6.11546319,3913.91024,262.2638857,70.20898089,21.82942261,6.565,58174.86072,Maybe,87667.08855,5.347849538,296.0862856,48.54453902,120.2531556,100,Education,14,256.0226029,2,Motorcycle_or_truck,Public_Sector,Yes,0,653.0216757
Pinks,4,367.8358419,37064.56235,30-45,15166.30156,Yes,528.0243902,Yes,Female,By_16:00,0.501655856,0.149944649,3379,302.646792,47.71612796,3628.209635,836.9388494,75.93724392,17.39674659,6.621,39719.70402,Yes,91380.21452,5.946753444,302.2916051,49.27180535,122.6119473,100,Education,11,283.645831,0,Motorcycle_or_truck,Hightech,No,1,450.8262338
Yellows,8,-51.88319327,-5013.678689,45_and_up,291.801796,No,639.8438149,Yes,Male,After_16:00,0.688507415,0.417463684,3793,322.8814617,35.47863667,3544.781877,180.8363639,99.03994119,17.96890263,10.207,45490.82341,Maybe,84043.10896,1.776437189,289.9018954,69.70127365,-17.29439776,100,Education,16,308.6393279,0,Car,Industry_or_other,Yes,0,640.5206197
Purples,4,953.231302,81352.82405,30-45,101288.8455,No,219.7600494,Yes,Male,By_16:00,0.319660503,0.326229819,5233,,46.30025774,2886.316656,84.57492059,86.48328756,12.76692466,10.767,19575.3514,Yes,65552.79084,3.81416772,256.0327925,29.33199215,317.7437673,100,Education,14,580.6716964,5,Foot_or_bicycle,Public_Sector,No,3,94.92368262
Khakis,4,410.9983562,39702.70812,45_and_up,18915.84932,Yes,544.7293613,Yes,Male,After_16:00,0.658456718,0.022583754,8642,363.7714716,81.34969049,3625.562425,609.0487333,26.29206094,19.07279402,1.358,42692.67358,No,83985.16919,3.117759188,289.8019482,78.41249614,136.9994521,80,Healthcare,8,,2,Foot_or_bicycle,Public_Sector,Yes,1,376.7096842
Yellows,3,-318.6426195,-24557.52257,Below_30,11185.24346,No,538.1547123,Yes,Male,By_16:00,0.253657896,0.817138101,4459,342.6681935,67.20597013,2997.411521,996.065269,87.16612333,18.51129908,9.541,40849.0822,Maybe,53456.91425,7.26185431,231.2075134,73.03584588,-106.2142065,90,Environment,12,323.3042349,4,Foot_or_bicycle,Industry_or_other,No,2,413.2651736
Browns,7,129.4945429,10930.16136,45_and_up,1916.368918,Yes,410.7288269,Yes,Male,By_16:00,0.15106673,0.451467054,8098,389.0505461,0.402236334,3310.291512,518.6876478,51.47843412,19.72436428,7.902,37050.79324,Yes,64119.88325,8.955419869,253.219042,2.512747236,43.16484762,90,Environment,12,507.6034222,1,Motorcycle_or_truck,Student_or_Unemployed,No,0,70.52286241
